NAME,ID,DEPRECATED,TEST_DATA
Чеченская Республика,11,NA,0
Республика Ингушетия,20,NA,2.6
Республика Дагестан,17,NA,4.3
Республика Тыва,77,NA,15.7
Республика Карачаево-Черкессия,28,NA,18.4
Кабардино-Балкарская Республика,23,NA,21.1
Республика Мордовия,47,NA,24.4
Тамбовская область,72,NA,24.6
Республика Адыгея,1,NA,25.1
Республика Алтай,19,NA,26.3
Липецкая область,44,NA,28.3
Пензенская область,59,NA,30.6
Воронежская область,86,NA,31.9
Тульская область,76,NA,32.1
Ставропольский край,70,NA,33
Республика Бурятия,10,NA,33.4
Ивановская область,22,NA,33.6
Курская область,42,NA,33.8
Орловская область,57,NA,34.3
Республика Саха,65,NA,35
Владимирская область,83,NA,35.2
Забайкальский край,91,NA,35.5
Брянская область,9,NA,36
Республика Марий Эл,46,NA,36.9
Республика Калмыкия,25,NA,37.1
Волгоградская область,84,NA,37.8
Рязанская область,64,NA,37.9
Ярославская область,88,NA,38.8
Иркусткая область,95,NA,39.5
Алтайский край,3,NA,39.7
Калужская область,26,NA,39.8
Краснодарский край,39,NA,39.8
Ростовская область,63,NA,39.9
Тверская область,78,NA,40.3
Республика Северная Осетия-Алания,53,NA,41.6
Новосибирская область,55,NA,41.6
Московская область,49,NA,41.9
Вологодская область,85,NA,42.1
Кировская область,34,NA,42.5
Оренбургская область,58,NA,42.8
Смоленская область,69,NA,43.7
Республика Хакасия,32,NA,43.8
Еврейская АОб,89,NA,43.8
Пермский край,93,NA,43.9
Чувашская Республика,15,NA,44.4
Костромская область,38,NA,44.8
Саратовская область,68,NA,45.1
Нижегородская область,52,NA,45.5
Кемеровская область,30,NA,45.7
Курганская область,41,NA,45.9
Псковская область,62,NA,46
Белгородская область,8,NA,46.2
Свердловская область,71,NA,47
Омская область,56,NA,47.2
Астраханская область,6,NA,47.6
Республика Татарстан,73,NA,47.7
Республика Башкортостан,7,NA,47.9
Томская область,75,NA,48.4
Удмуртская Республика,80,NA,49.7
Амурская область,4,NA,49.8
Сахалинская область,66,NA,49.9
Хабаровский край,31,NA,50.2
Самарская область,67,NA,51.3
Ульяновская область,81,NA,51.8
Новгородская область,54,NA,52.1
Магаданская область,45,NA,52.3
Ненецкий АОк,51,NA,52.5
Приморский край,61,NA,53
Республика Коми,36,NA,53.5
Калининградская область,24,NA,53.6
Красноярский край,94,NA,54.2
Чукотский АОк,14,NA,54.5
Ленинградская область,43,NA,54.7
Челябинская область,12,NA,55
Тюменская область,79,NA,56.5
Архангельская область,5,NA,56.8
Ханты-Мансийский АОк,33,NA,58.3
Ямало-Ненецкий АОк,87,NA,59.1
Республика Карелия,29,NA,59.4
Мурманская область,50,NA,61.4
Камчатский край,92,NA,62.2
Санкт-Петербург,16,NA,68.9
Москва,48,NA,70.8
Агинский Бурятский АОк,2,2008,NA
Читинская область,13,2008,NA
Эвенкиский АОк,18,2007,NA
Иркутская область (без Усть-Ордынского Бурятского АО),21,2008,NA
Камчатская область,27,2007,NA
Красноярский край (без Таймырского и Эвенкийского АО),40,2007,NA
Пермская область,60,2005,NA
Таймырский АОк,74,2007,NA
Усть-Ордынский Бурятский АОк,82,2008,NA
Коми-Пермятский АОк,35,2005,NA
Корякский АОк,37,2007,NA
